id;description;producing;date_added;last_modified
dd49c7b4-67fa-439d-ac3f-7d238ce1f371;envisioneer;false;2022-03-30T17:05:57;2022-03-30T06:11:02
c0a0e5f5-8dcf-442a-b473-da9eb5a5090e;Azerbaijan Cambridgeshire transform;true;2022-03-30T10:56:15;2022-03-29T22:08:31
a365184b-7e1f-4204-98ba-61a8d7d5c100;gold Product;true;2022-03-30T15:05:04;2022-03-30T17:47:36
58edb250-0b04-4bd6-a172-fce6b2857800;bypassing Eritrea;true;2022-03-30T20:25:34;2022-03-30T12:11:28
b7463d63-e01e-4f43-8482-ba1404c90f19;Cotton;false;2022-03-30T13:34:59;2022-03-30T11:59:57
83a2a40f-fc2e-4411-845d-95d0cce6e755;Bedfordshire cultivate granular;false;2022-03-30T05:01:45;2022-03-30T08:22:10
e5061131-d622-4134-9a38-aefe1675289a;synergies Technician calculating;false;2022-03-30T06:26:32;2022-03-30T05:34:59
279a1add-c42a-40f4-b645-44f1f027baa7;ROI;false;2022-03-30T17:44:27;2022-03-30T11:38:57
b9566d67-4db9-4157-a894-2f0025520fc1;payment drive Down-sized;false;2022-03-30T15:20:58;2022-03-30T04:28:10
2cc81a96-be4e-4a99-9c4e-fd34349bfd88;systems;true;2022-03-29T23:38:12;2022-03-30T03:48:35
